,contrast
0,3.501804725431423
1,3.8535929398338356
2,3.9233662414614017
3,3.762946421057389
4,3.5937822910883366
5,3.505883759236555
6,3.90521797447036
7,4.253932340935109
8,4.051045535893454
9,3.267035131727547
10,3.290998420134024
11,3.719440627858706
12,4.157709373713614
13,3.6958072653667013
14,3.933413623432268
15,4.138904010958363
16,3.935416836000301
17,3.759773578187191
18,3.293344731016412
19,4.566934846475845
20,4.105735843789506
21,3.5699572185871373
22,4.180979785461721
23,4.156829659015867
24,3.727392962387852
25,4.491443667238047
26,3.240582873755222
27,4.018049086929988
28,4.0670732037970785
29,3.8651292489442293
30,3.8524161574277422
31,3.964453623598891
32,4.1012770557783895
33,4.523193992669002
34,3.592382682511872
35,4.012393651320893
36,3.87473212999168
37,4.198604225377094
38,3.554105895028687
39,3.0689067690894634
40,4.056770274534517
41,4.0256381314768745
42,3.832286768526145
43,3.705264052654064
44,3.5065600421937093
45,2.9695952231184104
46,3.8304059493017157
47,3.584815408578534
48,3.6669949435271394
49,4.071991867129966
50,3.7223639066582157
51,3.9105829898494053
52,3.953702550404589
53,3.936068643163498
54,4.053837501605128
55,4.188253670065621
56,3.98549511825593
57,4.416370013173417
58,4.411508424170797
59,4.265293286614616
60,4.160435293076054
61,3.9272908448598525
62,4.213031272600953
63,3.6724057721916563
64,3.598491341217015
65,3.954740313259832
66,3.8969027278565482
67,3.9130364915333673
68,4.011588551298378
69,4.536131594249886
70,3.822587889973347
71,4.114696421886091
72,3.452177718670768
73,4.20019405942767
74,3.742687500868829
75,4.142942059824582
76,3.7809560375807725
77,3.743432203881253
78,3.6382542288926154
79,3.675719436417336
80,2.905922130198126
81,4.003765265572133
82,4.364509363345585
83,3.590019280973263
84,4.234888009057296
85,4.195114555357386
86,3.485408749098116
87,3.9978826172756503
88,3.936784554464902
89,3.5014898941324337
90,3.7638819612230283
91,3.8339201223407473
92,3.7919587871363767
93,3.8699257142823598
94,3.896431660481233
95,4.07481138182738
96,3.468214172885018
97,4.073094135071797
98,4.17194707514137
99,3.7401173570223456
100,4.266992929578367
101,4.2825586491761705
102,4.080610233290412
103,4.067316334319905
104,3.2435628640087777
105,4.040936432474013
106,4.370068722175144
107,3.7954445776341297
108,3.883934944282124
109,4.256662613431886
110,3.3631513787152905
111,3.78419545827912
112,3.7526834641336833
113,3.6998960557501674
114,3.9088914295692585
115,3.8443282289349288
116,4.182989232571214
117,3.7442163548781338
118,4.017157674568259
119,3.8101002593107234
120,3.958958018785905
121,3.6644329426709237
122,4.25850935674788
123,3.7116452030446125
124,3.7510554391446282
125,3.8805630872947527
126,4.160822507165948
127,3.8342283133651187
128,4.132052248205498
129,4.307600071686949
130,4.620521320898603
131,3.8097008209862815
132,4.136038086995832
133,3.888371082777631
134,3.9651328326044823
135,3.3646833851539504
136,4.098092624517583
137,3.8541026805433636
138,3.9319757409132525
139,3.951905749328969
140,4.592242328836264
141,3.8136525631361957
142,3.6720544449793455
143,3.660055236442437
144,3.7473165484298403
145,4.484433914532082
146,3.9704828785367936
147,4.244566562499537
148,4.0143950911216555
149,4.244566562499537
150,4.46247567029817
151,3.739435119978191
152,3.5594240559214647
153,4.003590031281554
154,4.10467772605584
155,2.746766326160961
156,3.5712401442165453
157,4.1989851618631775
158,4.138164760415952
159,4.059982571361324
160,4.19738881250084
161,3.7292818662878053
162,3.6522716346993005
163,3.8986652274270193
164,3.9272531571804596
165,3.652325529590269
166,4.080878189390448
167,3.738307260973983
168,3.074141000677502
169,4.342806500682874
170,3.8464444473192514
171,4.253413463210974
172,3.8307056975794023
173,4.021607170031519
174,3.7825607791314186
175,3.539767173166941
176,3.6713028491163464
177,3.7579925923918815
178,4.127781988965171
179,3.323905599337891
180,4.006516671875694
181,3.4548047005000204
182,3.488514729099189
183,3.8692708193144716
184,3.7359752557957644
185,3.8796084172506364
186,4.028674224988524
187,3.81767507909257
188,4.067764261221746
189,4.0614233087407685
190,2.978278356411513
191,4.092961254761932
192,3.44771912029671
193,3.566726969795943
194,4.087344597532104
195,4.3256628074795
196,3.782738194886712
197,4.20019405942767
198,4.316651147854987
199,4.267941565613038
200,3.9907530805003195
201,3.9088914295692585
202,3.9271927214775233
203,3.7931486023308074
204,4.428553226285075
205,4.312059637901986
206,3.6363970173963875
207,3.661466945652396
208,4.054877459797624
209,3.487408823600253
210,3.812991230144207
211,3.972369110030743
212,3.556980146433253
213,3.6565772226608164
214,4.03623306906552
215,3.999103075636723
216,3.9578026518683003
217,3.790003057083399
218,4.012917105386475
219,3.8802722605049063
220,3.463739625060598
221,3.9335346754010447
222,3.934314479086583
223,3.7482493350205743
224,3.301173136856622
225,4.5668708339015
226,4.39523628979761
227,3.485493625054004
228,3.0324242527380894
229,4.042656493830397
230,4.402988096831888
231,3.9251405529000634
232,3.7628411609792485
233,3.6756637462198425
234,3.7665490558689094
235,3.994842445339631
236,3.715369953439418
237,3.5532503614931397
238,4.282311042082555
239,3.57005013824917
240,3.93657700738034
241,3.5268816433825028
242,3.7655032780696684
243,4.160407967966107
244,3.289596319279468
245,3.6669949435271394
246,4.020157245496988
247,4.224191369659098
248,3.8635468351568907
249,3.7615056896676875
250,4.149146024187617
251,
252,3.7602681187113483
253,4.158587244307764
254,4.23874519395791
255,3.9857792267989187
256,3.3985763619030323
257,4.049176316743379
258,3.696585148141848
259,3.6274299077386325
260,3.193759264444658
261,3.9975077361509603
262,3.7483905095543566
263,3.811321547788107
264,3.5009426587685897
265,3.996044515694417
266,4.017852848525744
267,3.845643633034287
268,3.8109885525816116
269,4.109502353301916
270,4.391876305305553
271,4.022291183512207
272,3.655768192598504
273,3.972732782426182
274,3.7806483206709802
275,3.563050135735461
276,3.8708124955832104
277,3.3333588902479563
278,3.847688144753666
279,3.693700791160964
280,4.268406308459808
281,3.624538152642079
282,3.9959000997833005
283,4.017043758551047
284,3.969183250143951
285,4.025303619713181
286,3.6172498924980494
287,4.232482117202476
288,3.8133841204777306
289,3.8464444473192514
290,4.133752508716265
291,3.6654092871765633
292,3.4882121082925495
293,3.9714225024373655
294,4.100499968046522
295,4.076493591897352
296,3.834510184490654
297,3.960544928063421
298,3.8826889371406312
299,4.451892451611336
300,3.9453792679702717
301,4.121508748744328
302,3.7112214277049214
303,3.700701166666328
304,3.7736376407173546
305,4.009152107086023
306,3.6724765583508474
307,3.8983698489252334
308,3.834559877122368
309,4.182429427813456
310,4.132410563214424
311,4.387493041671708
312,4.1598123684460235
313,3.837068700287498
314,4.027078928516338
315,3.680133982443607
316,3.6548926975029743
317,3.286086647420773
318,3.842222676405673
319,3.405450654577449
320,3.6294966536687703
321,3.0510518886935265
322,4.039725967381701
323,4.22832087525128
324,3.9379081517779375
325,4.159389060837049
326,4.144172148410792
327,3.216733343605964
328,3.816256878721777
329,3.9810719187111694
330,3.8333134256049615
331,4.306510980373282
332,3.8816889422212064
333,3.473698588935467
334,3.600690050007309
335,3.5873530847203865
336,3.759269103428478
337,3.4776588559852244
338,3.9403433278481756
339,3.87034525607116
340,3.2170912290526
341,3.9692551951747874
342,4.365466655938591
343,4.018811263770742
344,3.940774463736232
345,4.109369662721794
346,3.8129520540571935
347,4.34930867482725
348,3.9715863701187826
349,4.045272328364248
350,3.8949189099454657
351,3.9475143197296725
352,3.9054944395203544
353,4.25745731279867
354,3.5632192907885654
355,3.707615101446654
356,3.695478533698698
357,3.982707684724949
358,3.802252685349441
359,4.337279881387414
360,3.9203048789935684
361,3.5755698227507584
362,3.553394187262403
363,3.7684460323700324
364,4.018328955258478
365,1.963915493666216
366,3.9088914295692585
367,3.4101385454109225
368,3.7857133994683276
369,4.113200566439938
370,3.950849671205608
371,4.418194139195969
372,4.090219540866134
373,3.5412840676367945
374,3.7779008495059623
375,3.506101159060882
376,3.64280513486913
377,3.6605571306171267
378,4.449623479029093
379,3.945839019876687
380,4.035499893613891
381,3.7332779117760917
382,4.093317314825761
383,3.9915350052102174
384,3.5647855009505194
385,3.324541977597995
386,3.4257650773153645
387,3.794031030409018
388,3.84691956226986
389,4.190791296596843
390,3.9176608495514103
391,3.4950913652442495
392,3.5667997062552748
393,3.7029638880404425
394,3.8581420360908636
395,4.11398487055693
396,3.8645985549203425
397,4.129848348235856
398,4.073570221412365
399,3.981951661668923
400,3.5595321809472287
401,4.197284530899915
402,4.0079216027520035
403,4.19188679218773
404,3.8092987562576126
405,4.294902578453685
406,3.152573832252775
407,4.159570321699043
408,3.902060016064185
409,3.6684950485313745
410,3.7801190732934478
411,3.7008360669377134
412,4.210609846912012
413,4.004950996707854
414,4.0139581363554
415,3.6102998493571765
416,3.2585618959469067
417,3.780292291898068
418,4.107416615300157
419,4.145863229911495
420,3.780292291898068
421,3.85959049967778
422,3.4826877524617736
423,3.8372587969781145
424,3.848949456095106
425,3.4877841632658906
426,3.780292291898068
427,3.805694726986356
428,3.9739875734936403
429,4.32669626737087
430,3.7339590380616414
431,3.849585665062362
432,4.262526333125227
433,4.380337068974592
434,3.574334077880649
435,3.9146468142335493
436,4.023207780503077
437,4.159245051514602
438,3.7026978429429898
439,3.940258918711817
440,3.12540217291574
441,3.5270072738332434
442,3.815596956427361
443,3.4135589807237707
444,4.3375919727915155
445,3.848171395892704
446,4.076992417090588
447,4.093960428290715
448,4.28257372480693
449,3.292922948929784
450,3.6981764450737584
451,3.8283812526962406
452,4.246728138831622
453,3.810806397433895
454,3.947755987960337
455,3.878072679668035
456,4.146243123997044
457,3.783654617345124
458,3.978465507609226
459,3.6776008401425893
460,4.042287778547982
461,3.9091156905046014
462,3.4781005602760198
463,3.927264966704364
464,4.051681982565147
465,3.8919781777847495
466,3.989640195862616
467,4.088918955194314
468,3.9083484518638856
469,3.2429079765606867
470,4.1266635785585635
471,4.340466502902576
472,4.189955527517958
473,3.967833985968733
474,4.072262320950339
475,3.262676205527204
476,3.9208347046410146
477,4.4993330904916595
478,3.884455912156136
479,3.4291530439553233
480,4.153798523825144
481,3.847368512822424
482,3.905509942738523
483,3.8107961398389762
484,3.783349343871463
485,4.292773452183572
486,3.171907882055726
487,3.9475271059564254
488,3.8756870496251574
489,3.7473165484298403
490,3.6527578448785682
491,4.037772044034016
492,3.9189735871736784
493,3.976504234783877
494,4.013823167279774
495,4.566934846475845
496,3.939564934173211
497,4.0954560433819855
498,3.555369037659526
499,3.9884273113959074
500,3.926103874924432
501,3.6680703527635212
502,4.353060670828993
503,3.770721060464872
504,4.071923693285079
505,4.042572223575917
506,4.294854392075588
507,3.5363914716936367
508,4.370619200913982
509,3.515028827748553
510,3.5767669671384263
511,3.251965273751618
512,3.237367696555968
513,4.280458660090133
514,3.672236515867109
515,3.8781377774684103
516,4.04895889849146
517,3.6555566845636336
518,4.01059181978631
