,duration
0,2880.0
1,3040.0
2,4480.0
3,3700.0
4,1120.0
5,6000.0
6,8000.0
7,9000.0
8,3000.0
9,
10,4140.0
11,6700.0
12,1400.0
13,4550.0
14,1800.0
15,1210.0
16,8000.0
17,9480.0
18,4160.0
19,2500.0
20,3100.0
21,3340.0
22,1200.0
23,1820.0
24,2600.0
25,2080.0
26,4200.0
27,2310.0
28,2670.0
29,2800.0
30,12400.0
31,6880.0
32,1670.0
33,4550.0
34,1800.0
35,3000.0
36,1060.0
37,3600.0
38,4010.0
39,4100.0
40,3850.0
41,5200.0
42,4240.0
43,2880.0
44,7560.0
45,3850.0
46,10280.0
47,4520.0
48,3960.0
49,2640.0
50,2140.0
51,2300.0
52,1890.0
53,7100.0
54,8870.0
55,2960.0
56,1680.0
57,3080.0
58,5130.0
59,4200.0
60,3360.0
61,1700.0
62,10710.0
63,2150.0
64,1600.0
65,3470.0
66,1300.0
67,2360.0
68,1900.0
69,3780.0
70,3210.0
71,2700.0
72,1680.0
73,2660.0
74,1760.0
75,1530.0
76,4900.0
77,6910.0
78,4960.0
79,2750.0
80,1870.0
81,18000.0
82,9670.0
83,1400.0
84,2900.0
85,1100.0
86,1600.0
87,5400.0
88,6100.0
89,4160.0
90,4730.0
91,2410.0
92,4470.0
93,12000.0
94,1600.0
95,1400.0
96,11000.0
97,3120.0
98,2140.0
99,1300.0
100,17920.0
101,3640.0
102,3200.0
103,5400.0
104,9070.0
105,2600.0
106,1240.0
107,2560.0
108,4060.0
109,1560.0
110,5740.0
111,5240.0
112,2640.0
113,6000.0
114,6790.0
115,3300.0
116,5520.0
117,2670.0
118,2000.0
119,8800.0
120,8000.0
121,500.0
122,4640.0
123,1800.0
124,
125,5400.0
126,240.0
127,5590.0
128,4090.0
129,4030.0
130,2790.0
131,4840.0
132,6100.0
133,4410.0
134,1400.0
135,2900.0
136,1440.0
137,3240.0
138,6800.0
139,3500.0
140,1440.0
141,3080.0
142,1430.0
143,5960.0
144,
145,1400.0
146,2340.0
147,4190.0
148,5200.0
