,duration_duration
0,2
1,3
2,4
3,3
4,1
5,6
6,8
7,9
8,3
9,1
10,4
11,6
12,1
13,4
14,1
15,1
16,8
17,9
18,4
19,2
20,3
21,3
22,1
23,1
24,2
25,2
26,4
27,2
28,2
29,2
30,12
31,6
32,1
33,4
34,1
35,3
36,1
37,3
38,4
39,4
40,3
41,5
42,4
43,3
44,7
45,4
46,10
47,4
48,3
49,2
50,2
51,2
52,1
53,7
54,8
55,3
56,1
57,3
58,5
59,4
60,3
61,1
62,10
63,2
64,1
65,3
66,1
67,2
68,1
69,3
70,3
71,2
72,1
73,2
74,1
75,1
76,4
77,6
78,4
79,2
80,2
81,20
82,9
83,1
84,2
85,1
86,1
87,5
88,6
89,4
90,4
91,2
92,4
93,12
94,1
95,1
96,11
97,3
98,2
99,1
100,17
101,4
102,3
103,5
104,9
105,2
106,1
107,2
108,4
109,1
110,5
111,5
112,2
113,6
114,6
115,3
116,5
117,2
118,2
119,8
120,8
121,0
122,4
123,1
124,4
125,5
126,0
127,6
128,3
129,4
130,2
131,4
132,6
133,4
134,1
135,2
136,1
137,3
138,6
139,3
140,1
141,3
142,1
143,6
144,8
145,1
146,2
147,4
148,5
149,4
150,4
151,9
152,12
153,4
154,10
155,2
156,1
157,3
158,2
159,13
160,2
161,2
162,7
163,1
164,2
165,1
166,1
167,3
168,1
169,2
170,7
171,3
172,3
173,6
174,4
175,7
176,3
177,6
178,1
179,4
180,2
181,2
182,2
183,2
184,2
185,6
186,5
187,5
188,4
189,2
190,5
191,2
192,4
193,8
194,1
195,4
196,1
197,2
198,0
199,2
200,3
201,6
202,2
203,2
204,4
205,3
206,3
207,2
208,1
209,3
210,11
211,4
212,3
213,7
214,2
215,1
216,2
217,2
218,2
219,5
220,1
221,6
222,3
223,0
224,1
225,2
226,4
227,3
228,12
229,0
230,2
231,9
232,2
233,12
234,4
235,0
236,5
237,4
238,3
239,6
240,4
241,3
242,8
243,3
244,2
245,3
246,2
247,2
248,4
249,4
250,7
251,-368934881474191040
252,5
253,4
254,2
255,2
256,6
257,7
258,3
259,5
260,2
261,1
262,2
263,22
264,12
265,3
266,7
267,2
268,2
269,4
270,3
271,3
272,7
273,4
274,1
275,2
276,2
277,2
278,4
279,3
280,2
281,3
282,4
283,2
284,2
285,6
286,1
287,4
288,3
289,7
290,2
291,4
292,4
293,6
294,7
295,2
296,15
297,3
298,6
299,2
300,2
301,1
302,2
303,2
304,2
305,3
306,2
307,3
308,0
309,3
310,5
311,3
312,6
313,6
314,7
315,5
316,1
317,4
318,1
319,3
320,3
321,10
322,12
323,5
324,3
325,4
326,3
327,1
328,4
329,5
330,2
331,6
332,1
333,3
334,1
335,9
336,2
337,1
338,4
339,2
340,3
341,11
342,3
343,3
344,6
345,1
346,2
347,2
348,1
349,1
350,4
351,6
352,1
353,4
354,1
355,2
356,3
357,9
358,2
359,6
360,5
361,6
362,1
363,5
364,3
365,3
366,6
367,1
368,3
369,2
370,7
371,2
372,1
373,5
374,2
375,7
376,7
377,3
378,3
379,3
380,1
381,10
382,3
383,6
384,2
385,4
386,1
387,2
388,2
389,2
390,3
391,3
392,3
393,2
394,12
395,3
396,3
397,3
398,2
399,0
400,2
401,1
402,3
403,4
404,1
405,4
406,5
407,1
408,6
409,2
410,2
411,1
412,2
413,7
414,15
415,6
416,2
417,5
418,2
419,2
420,5
421,3
422,4
423,3
424,2
425,3
426,5
427,5
428,2
429,1
430,4
431,1
432,5
433,3
434,4
435,4
436,7
437,2
438,5
439,2
440,3
441,3
442,8
443,1
444,1
445,1
446,1
447,6
448,2
449,6
450,2
451,5
452,2
453,2
454,1
455,0
456,1
457,3
458,27
459,3
460,2
461,6
462,2
463,4
464,1
465,6
466,4
467,3
468,6
469,6
470,6
471,2
472,3
473,3
474,4
475,2
476,4
477,1
478,2
479,2
480,5
481,4
482,3
483,2
484,2
485,2
486,2
487,4
488,6
489,8
490,3
491,1
492,4
493,3
494,6
495,2
496,3
497,11
498,5
499,4
500,2
501,3
502,3
503,4
504,4
505,1
506,2
507,1
508,5
509,50
510,8
511,5
512,2
513,1
514,3
515,5
516,2
517,1
518,4
519,2
520,5
521,5
522,2
523,3
524,0
525,6
526,3
527,3
528,4
529,4
530,5
531,4
532,13
533,3
534,2
535,6
536,3
537,5
538,2
539,2
540,4
541,3
542,2
543,3
544,1
545,2
546,2
547,7
548,3
549,2
550,4
551,2
552,2
553,4
554,1
555,6
556,4
557,2
558,2
559,3
560,1
561,2
562,5
563,2
564,1
565,2
566,10
567,4
568,28
569,5
570,5
571,3
572,4
573,1
574,7
575,5
576,9
577,1
578,0
579,1
580,0
581,5
