,fps_duration
0,25
1,24
2,14
3,10
4,8
5,12
6,10
7,16
8,20
9,10
10,14
11,10
12,10
13,14
14,8
15,9
16,10
17,16
18,12
19,10
20,10
21,14
22,8
23,7
24,10
25,7
26,20
27,14
28,14
29,10
30,10
31,25
32,14
33,14
34,10
35,10
36,30
37,16
38,11
39,20
40,20
41,10
42,8
43,16
44,25
45,10
46,7
47,25
48,25
49,11
50,14
51,20
52,14
53,10
54,15
55,12
56,16
57,12
58,25
59,14
60,24
61,10
62,25
63,20
64,20
65,15
66,10
67,25
68,10
69,11
70,22
71,10
72,50
73,14
74,25
75,11
76,10
77,30
78,25
79,20
80,14
81,5
82,15
83,25
84,10
85,20
86,10
87,10
88,10
89,25
90,15
91,12
92,15
93,16
94,25
95,7
96,15
97,25
98,22
99,20
100,15
101,7
102,20
103,10
104,15
105,10
106,25
107,25
108,15
109,16
110,15
111,21
112,25
113,10
114,15
115,16
116,25
117,14
118,25
119,25
120,10
121,10
122,12
123,10
124,10
125,8
126,16
127,7
128,32
129,22
130,15
131,25
132,10
133,14
134,14
135,10
136,25
137,25
138,10
139,10
140,16
141,14
142,7
143,24
144,10
145,10
146,14
147,15
148,25
149,15
150,6
151,33
152,23
153,25
154,14
155,25
156,10
157,23
158,10
159,20
160,8
161,10
162,8
163,16
164,10
165,25
166,10
167,16
168,33
169,33
170,11
171,25
172,5
173,10
174,10
175,16
176,25
177,14
178,15
179,30
180,16
181,19
182,14
183,14
184,14
185,20
186,25
187,16
188,15
189,24
190,12
191,20
192,25
193,25
194,14
195,15
196,14
197,14
198,15
199,50
200,9
201,15
202,20
203,10
204,14
205,12
206,10
207,25
208,7
209,10
210,16
211,10
212,10
213,25
214,14
215,14
216,11
217,14
218,14
219,20
220,10
221,25
222,25
223,10
224,23
225,8
226,14
227,20
228,7
229,20
230,9
231,10
232,10
233,14
234,20
235,20
236,12
237,25
238,14
239,25
240,15
241,24
242,25
243,14
244,25
245,25
246,14
247,10
248,25
249,7
250,14
251,25
252,5
253,25
254,20
255,20
256,19
257,10
258,16
259,15
260,14
261,25
262,25
263,33
264,16
265,15
266,12
267,14
268,20
269,10
270,13
271,10
272,8
273,10
274,25
275,10
276,23
277,14
278,20
279,10
280,10
281,10
282,15
283,20
284,25
285,25
286,10
287,30
288,14
289,11
290,20
291,25
292,30
293,22
294,10
295,15
296,14
297,6
298,25
299,8
300,10
301,10
302,14
303,10
304,25
305,25
306,20
307,12
308,10
309,20
310,10
311,33
312,14
313,10
314,21
315,10
316,30
317,16
318,10
319,30
320,30
321,13
322,14
323,10
324,10
325,20
326,20
327,12
328,10
329,25
330,10
331,13
332,15
333,22
334,6
335,20
336,10
337,30
338,7
339,14
340,25
341,12
342,33
343,25
344,25
345,15
346,10
347,15
348,10
349,20
350,10
351,15
352,14
353,25
354,19
355,22
356,15
357,16
358,25
359,25
360,25
361,25
362,10
363,24
364,15
365,15
366,15
367,16
368,10
369,14
370,15
371,14
372,25
373,15
374,33
375,15
376,20
377,14
378,11
379,25
380,12
381,20
382,10
383,25
384,10
385,24
386,10
387,16
388,25
389,14
390,25
391,26
392,25
393,15
394,25
395,15
396,12
397,16
398,11
399,10
400,30
401,25
402,25
403,15
404,33
405,7
406,25
407,14
408,25
409,25
410,25
411,10
412,15
413,20
414,10
415,16
416,25
417,25
418,10
419,28
420,25
421,20
422,25
423,25
424,10
425,9
426,25
427,25
428,25
429,25
430,14
431,20
432,10
433,10
434,25
435,6
436,12
437,6
438,25
439,14
440,10
441,24
442,10
443,10
444,8
445,25
446,14
447,12
448,14
449,10
450,33
451,24
452,25
453,10
454,11
455,33
456,22
457,25
458,10
459,14
460,8
461,15
462,10
463,25
464,14
465,15
466,10
467,10
468,15
469,20
470,10
471,20
472,25
473,12
474,15
475,16
476,23
477,5
478,10
479,12
480,15
481,10
482,14
483,11
484,25
485,14
486,10
487,15
488,15
489,10
490,10
491,20
492,10
493,5
494,5
495,10
496,25
497,10
498,14
499,15
500,10
501,14
502,18
503,25
504,15
505,14
506,12
507,24
508,14
509,24
510,20
511,21
512,22
513,9
514,10
515,12
516,25
517,14
518,10
519,16
520,20
521,10
522,15
523,29
524,20
525,10
526,8
527,25
528,25
529,10
530,30
531,9
532,14
533,20
534,14
535,25
536,7
537,33
538,27
539,30
540,10
541,10
542,25
543,15
544,10
545,8
546,12
547,15
548,12
549,5
550,10
551,20
552,14
553,15
554,10
555,25
556,10
557,14
558,22
559,12
560,25
561,10
562,15
563,14
564,15
565,25
566,14
567,15
568,25
569,25
570,14
571,14
572,15
573,10
574,10
575,33
576,10
577,10
578,10
579,14
580,50
581,24
582,10
583,16
584,16
585,25
586,11
587,25
588,25
589,10
590,30
591,33
592,30
593,14
594,14
595,7
596,20
597,16
598,14
599,14
600,20
601,15
602,6
603,10
604,10
605,25
606,12
607,7
608,33
609,11
610,20
611,33
612,20
613,25
614,14
615,14
616,10
617,22
618,20
619,10
620,16
621,7
622,25
623,25
624,15
625,15
626,10
627,20
628,25
629,25
630,12
631,10
632,10
633,9
634,16
635,10
636,30
637,9
638,20
639,11
640,10
641,10
642,33
643,10
644,30
645,14
646,11
647,12
648,25
