,frames_duration
0,72.0
1,73.0
2,64.0
3,37.0
4,15.0
5,75.0
6,80.0
7,150.0
8,60.0
9,15.0
10,58.0
11,67.0
12,14.0
13,65.0
14,14.0
15,11.0
16,80.0
17,158.0
18,52.0
19,25.0
20,31.0
21,50.0
22,10.0
23,13.0
24,26.0
25,16.0
26,84.0
27,33.0
28,40.0
29,28.0
30,124.0
31,172.0
32,25.0
33,65.0
34,18.0
35,30.0
36,32.0
37,59.0
38,48.0
39,82.0
40,77.0
41,52.0
42,35.0
43,48.0
44,189.0
45,42.0
46,72.0
47,113.0
48,99.0
49,29.0
50,32.0
51,46.0
52,27.0
53,71.0
54,133.0
55,37.0
56,28.0
57,37.0
58,128.0
59,60.0
60,81.0
61,17.0
62,271.0
63,43.0
64,32.0
65,52.0
66,13.0
67,59.0
68,19.0
69,42.0
70,74.0
71,27.0
72,84.0
73,38.0
74,44.0
75,17.0
76,49.0
77,207.0
78,124.0
79,55.0
80,28.0
81,100.0
82,145.0
83,35.0
84,29.0
85,22.0
86,16.0
87,54.0
88,61.0
89,104.0
90,71.0
91,29.0
92,67.0
93,200.0
94,40.0
95,10.0
96,165.0
97,78.0
98,49.0
99,26.0
100,269.0
101,28.0
102,64.0
103,54.0
104,136.0
105,26.0
106,31.0
107,64.0
108,61.0
109,26.0
110,86.0
111,114.0
112,66.0
113,60.0
114,102.0
115,55.0
116,138.0
117,40.0
118,50.0
119,220.0
120,80.0
121,5.0
122,58.0
123,18.0
124,45.0
125,45.0
126,4.0
127,43.0
128,113.0
129,89.0
130,42.0
131,121.0
132,61.0
133,63.0
134,20.0
135,29.0
136,36.0
137,81.0
138,68.0
139,35.0
140,24.0
141,44.0
142,11.0
143,148.0
144,88.0
145,14.0
146,35.0
147,63.0
148,130.0
149,63.0
150,29.0
151,305.0
152,298.0
153,101.0
154,140.0
155,50.0
156,18.0
157,76.0
158,27.0
159,279.0
160,19.0
161,26.0
162,60.0
163,27.0
164,28.0
165,39.0
166,13.0
167,49.0
168,41.0
169,80.0
170,77.0
171,94.0
172,17.0
173,60.0
174,42.0
175,127.0
176,99.0
177,89.0
178,21.0
179,125.0
180,47.0
181,54.0
182,34.0
183,35.0
184,35.0
185,120.0
186,146.0
187,80.0
188,61.0
189,66.0
190,67.0
191,59.0
192,103.0
193,219.0
194,19.0
195,60.0
196,23.0
197,38.0
198,12.0
199,139.0
200,30.0
201,102.0
202,42.0
203,26.0
204,65.0
205,39.0
206,33.0
207,73.0
208,11.0
209,35.0
210,182.0
211,44.0
212,35.0
213,197.0
214,31.0
215,25.0
216,31.0
217,40.0
218,40.0
219,113.0
220,18.0
221,169.0
222,99.0
223,9.0
224,30.0
225,18.0
226,68.0
227,76.0
228,90.0
229,16.0
230,19.0
231,98.0
232,27.0
233,177.0
