,max_face_count
0,1
1,1
2,0
3,1
4,1
5,1
6,1
7,0
8,1
9,0
10,0
11,1
12,0
13,1
14,1
15,0
16,1
17,2
18,1
19,1
20,0
21,0
22,0
23,1
24,0
25,0
26,0
27,4
28,1
29,1
30,1
31,1
32,0
33,0
34,0
35,1
36,0
37,0
38,0
39,1
40,1
41,1
42,0
43,1
44,1
45,0
46,1
47,1
48,1
49,0
50,0
51,1
52,0
53,0
54,0
55,1
56,1
57,0
58,1
59,1
60,1
61,1
62,1
63,0
64,3
65,0
66,1
67,1
68,0
69,0
70,1
71,1
72,2
73,1
74,1
75,1
76,0
77,0
78,1
79,1
80,1
81,1
82,1
83,1
84,0
85,0
86,0
87,1
88,0
89,1
90,1
91,1
92,1
93,1
94,0
95,0
96,0
97,0
98,1
99,1
100,0
101,0
102,0
103,1
104,0
105,0
106,1
107,0
108,1
109,1
110,1
111,1
112,1
113,0
114,1
115,1
116,1
117,1
118,1
119,0
120,1
121,1
122,1
123,1
124,0
125,1
126,1
127,0
128,1
129,2
130,0
131,1
132,0
133,1
134,1
135,0
136,0
137,0
138,0
139,1
140,1
141,1
142,1
143,1
144,1
145,0
146,0
147,1
148,0
149,1
150,0
151,1
152,1
153,1
154,0
155,1
156,1
157,0
158,0
159,1
160,0
161,1
162,0
163,1
164,0
165,1
166,0
167,2
168,0
169,0
170,1
171,1
172,1
173,1
174,1
175,0
176,1
177,1
178,1
179,1
180,0
181,0
182,1
183,1
184,1
185,1
186,0
187,0
188,0
189,0
190,0
191,1
192,1
193,1
194,0
195,1
196,1
197,1
198,0
199,1
200,1
201,1
202,1
203,1
204,0
205,0
206,1
207,1
208,1
209,1
210,1
211,1
212,1
213,1
214,0
215,0
216,1
217,0
218,1
219,1
220,0
221,1
222,0
223,1
224,1
225,0
226,1
227,1
228,0
229,0
230,0
231,1
232,1
233,1
234,1
235,0
236,0
237,1
238,0
239,1
240,1
241,1
242,1
243,1
244,1
245,1
246,1
247,0
248,1
249,1
250,1
251,-1
252,1
253,1
254,1
255,1
256,1
257,0
258,0
259,1
260,1
261,1
262,1
263,1
264,1
265,1
266,1
267,0
268,0
269,1
270,0
271,0
272,1
273,0
274,1
275,0
276,1
277,1
278,0
279,0
280,0
281,1
282,1
283,0
284,1
285,1
286,0
287,0
288,1
289,1
290,2
291,1
292,2
293,1
294,1
295,0
296,1
297,1
298,1
299,1
300,1
301,0
302,1
303,0
304,1
305,0
306,1
307,1
308,1
309,1
310,1
311,1
312,0
313,0
314,1
315,0
316,1
317,1
318,0
319,1
320,1
321,0
322,1
323,0
324,1
325,0
326,1
327,0
328,1
329,0
330,1
331,0
332,1
333,0
334,1
335,1
336,1
337,1
338,1
339,0
340,1
341,1
342,0
343,1
344,1
345,1
346,1
347,0
348,1
349,1
350,0
351,1
352,0
353,1
354,1
355,1
356,0
357,0
358,2
359,0
360,1
361,1
362,0
363,2
364,0
365,0
366,1
367,0
368,1
369,1
370,1
371,1
372,0
373,1
374,0
375,1
376,0
377,1
378,1
379,1
380,0
381,1
382,2
383,1
384,2
385,1
386,0
387,1
388,1
389,1
390,1
391,0
392,0
393,1
394,1
395,0
396,1
397,0
398,1
399,0
400,1
401,1
402,1
403,1
404,1
405,1
406,1
407,1
408,1
409,1
410,1
411,1
412,1
413,0
414,0
415,1
416,1
417,1
418,0
419,1
420,1
421,0
422,1
423,1
424,1
425,2
426,1
427,1
428,1
429,1
430,0
431,1
432,0
433,1
434,1
435,1
436,1
437,1
438,1
439,1
440,1
441,1
442,1
443,0
444,1
445,1
446,1
447,1
448,1
449,0
450,1
451,1
452,1
453,1
454,1
455,0
456,1
457,2
458,1
459,1
460,0
461,1
462,0
463,1
464,1
465,1
466,0
467,1
468,1
469,1
470,0
471,1
472,1
473,0
474,1
475,0
476,1
477,1
478,1
479,1
480,0
481,1
482,0
483,0
484,1
485,1
486,1
487,1
488,1
489,1
490,0
491,2
492,1
493,0
494,0
495,1
496,0
497,1
498,0
499,1
500,1
501,1
502,0
503,1
504,0
505,1
506,0
507,0
508,1
509,0
510,0
511,0
512,0
513,1
514,1
515,1
516,1
517,1
518,1
519,1
520,1
521,1
522,1
523,1
524,0
525,0
526,0
527,1
528,0
529,1
530,1
531,1
532,1
533,0
534,1
535,1
536,0
537,0
538,0
539,0
540,1
541,0
542,0
543,1
544,1
545,0
546,0
547,1
548,0
549,1
550,1
551,1
552,1
553,1
554,1
555,0
556,0
557,0
558,1
559,1
560,1
561,0
562,1
563,1
564,0
565,1
566,1
567,1
568,1
569,1
570,0
571,0
572,0
573,1
574,1
575,0
576,1
577,0
578,0
579,1
580,0
581,1
582,0
583,0
584,0
585,0
586,1
587,1
588,1
589,1
590,1
591,0
592,1
593,1
594,0
595,1
596,1
597,1
598,0
599,1
600,1
601,1
602,0
603,1
604,0
605,1
606,1
607,1
608,0
609,1
610,0
611,1
612,1
613,1
614,0
615,1
616,1
617,1
618,0
619,1
620,0
621,0
622,1
623,1
624,0
625,1
626,0
627,0
628,2
629,1
630,0
631,1
632,1
633,2
634,1
635,0
636,1
637,1
638,1
639,1
640,1
641,0
642,1
643,0
644,0
645,0
646,0
647,0
648,1
649,0
650,1
651,1
652,1
653,1
654,0
655,0
656,0
657,1
658,0
659,0
660,1
661,0
662,1
663,1
664,1
665,2
666,1
667,0
668,1
669,1
670,1
671,1
672,0
673,1
674,1
675,1
676,1
677,-1
678,1
679,1
680,0
681,1
682,0
683,1
684,1
685,1
686,0
687,1
688,1
689,1
690,1
691,1
692,1
693,1
694,1
695,0
696,1
697,0
698,0
699,1
700,0
701,0
702,1
703,0
704,0
705,1
706,1
707,1
708,0
709,0
710,1
711,1
712,1
713,0
714,1
715,1
716,0
717,1
718,1
719,0
720,0
721,1
722,1
723,1
724,1
725,1
726,1
727,1
728,1
729,1
730,1
731,1
732,1
733,1
734,0
735,1
736,1
737,0
738,1
739,1
740,0
741,1
742,0
743,1
744,1
745,0
746,0
747,1
748,0
749,1
750,0
751,1
752,0
753,0
754,0
755,1
756,1
757,1
758,1
759,0
760,1
761,1
762,1
763,0
764,0
765,1
766,0
767,-1
768,1
769,0
770,1
771,0
772,1
773,0
774,1
775,1
776,1
777,0
778,0
779,0
780,1
781,1
782,1
783,0
784,0
785,0
786,1
787,1
788,1
789,1
790,0
791,1
792,0
793,1
794,0
795,1
796,1
797,1
798,1
799,0
800,0
801,0
802,0
803,1
804,1
805,1
806,1
807,1
808,2
809,0
810,1
