,min_sharpness
0,355.6171612206122
1,749.7830645784908
2,2700.7377655951454
3,740.9972693787993
4,284.9351761379556
5,287.25672612345676
6,120.62934572881217
7,112.50161671321088
8,172.2492117723819
9,321.2669549528808
10,197.69982261793743
11,169.3431463675114
12,1926.575073724096
13,486.73557000678335
14,120.41577755749378
15,2799.340914766819
16,83.93167684566718
17,464.3641773756239
18,249.9536812551985
19,4056.5368166875164
20,2760.9023915309585
21,328.7307280237369
22,1131.9853274763516
23,2085.9332220900715
24,135.0951804283081
25,1331.0205576219744
26,348.82329216987654
27,59.73360628556147
28,318.1694203244075
29,1722.1922474164535
30,83.79372326567055
31,3522.8363890918968
32,2177.961653835829
33,324.23931395482435
34,1384.9325906022993
35,2097.052229315799
36,981.0098485362256
37,6918.673776653061
38,0.04617404513888889
39,525.3391842659234
40,257.19662030846916
41,356.68043808178953
42,1208.1506665306574
43,1141.394271174509
44,74.5793862723206
45,21.804774899002652
46,183.38652394556746
47,345.6676553211357
48,168.83382961622934
49,1021.2616413966035
50,402.8897451411306
51,754.3410495624728
52,636.6487746576491
53,1158.481098761759
54,1611.3953047576942
55,934.410759717739
56,715.6233920967351
57,626.5258264247565
58,1224.3310163736912
59,584.7516661938533
60,156.60379090384356
61,1030.4018431820984
62,216.03062722546005
63,727.552056191146
64,425.9681355527701
65,592.1902381534827
66,1962.6049815967347
67,505.481584056579
68,2949.468484311473
69,7865.39188914686
70,144.9753967799585
71,137.41459522505622
72,215.78209798731112
73,2488.895208182927
74,760.6315108543004
75,211.3017763152257
76,967.1954858171683
77,229.18721314915783
78,398.9795795236848
79,203.82815912884607
80,87.25648277706568
81,326.1255592917715
82,848.8546987391761
83,211.39433098805029
84,5116.690918383191
85,422.527605019491
86,458.6519585516442
87,1098.526530296005
88,996.7503865694409
89,109.51800414858255
90,174.10911539080584
91,344.17140896643053
92,259.7850924438644
93,105.54432213753958
94,141.7664360005312
95,1925.2829964952884
96,138.11865131812496
97,613.4328633398261
98,543.064602381693
99,444.952676131166
100,506.4665875974866
101,2083.657116036869
102,242.9454188559867
103,1906.2722820445697
104,235.0279485510974
105,2824.200502221162
106,2037.8084056740274
107,395.3207318555973
108,114.61784090776467
109,440.00472441625914
110,19.737960301359198
111,1723.4931409961064
112,262.86142896939947
113,1092.306192485676
114,240.06342329705208
115,242.77409445270672
116,479.02044740681964
117,319.40349872748243
118,2316.1461262838648
119,1254.755163434634
120,553.4225143248567
121,449.8497138504155
122,340.47034598765435
123,840.0765030506824
124,377.0814417844984
125,147.87167297325757
126,2871.2045547449748
127,1052.105252138084
128,577.5705731425381
129,122.6168092305196
130,531.5933559992284
131,328.3235177148719
132,259.18577556135165
133,2175.64097107438
134,1305.3397524063266
135,630.6239397487689
136,622.2519762673503
137,377.088914986874
138,460.23973120731875
139,1492.7667909769004
140,1114.0753485830362
141,1221.5088607434557
142,2960.851220332169
143,627.4404946332007
144,895.5336260732113
145,5603.743157015412
146,1371.380985592984
147,987.8593992853129
148,358.48421754826404
149,987.8593992853129
150,4486.040293938648
151,786.3565696817737
152,4157.237436156224
153,297.3936938271431
154,665.1488183013439
155,151.4769292983268
156,962.7279785442007
157,71.66230556477053
158,1369.0655670653866
159,523.0989360944452
160,3061.930838389456
161,1270.1259413649993
162,1074.8395693172906
163,325.0633539582639
164,1125.920474926307
165,991.1650936451899
166,3812.199176449133
167,955.1854934630102
168,143.64391528964418
169,352.95348438378005
170,542.48966794381
171,966.9272901383922
172,787.5349720979502
173,956.0955558284247
174,890.63865413406
175,72.79090744943916
176,261.42024123572344
177,112.23447894157248
178,422.4390106986359
179,195.86202523375562
180,3068.8434966692275
181,1006.0056250244137
182,303.583062191344
183,204.3173854964837
184,150.78514419997484
185,299.0237403708712
186,911.310594931499
187,1509.2662219071462
188,734.1239318657156
189,1414.7805185915543
190,68.32520902701367
191,650.2381165343326
192,296.39922799753214
193,497.3579802113067
194,1423.4996273036356
195,924.6914962759333
196,225.01367561728395
197,2488.895208182927
198,553.9102521226246
199,508.68461224972674
200,359.69168775181595
201,240.06342329705208
202,554.9724789552147
203,737.2216627360027
204,165.8790113022986
205,1804.7253446711034
206,1813.639427327108
207,363.7865209588429
208,1025.5565313379516
209,62.01920822250483
210,574.1994230103099
211,342.7523778220626
212,712.2671616337803
213,841.9917212032241
214,6094.076567686462
215,715.8605395280827
216,1054.9073787877758
217,2685.0023173616773
218,1634.9052839630178
219,186.5290085552747
220,589.2689647657135
221,781.6011785423674
222,1342.2644631377552
223,1381.1494430439336
224,461.3941739807099
225,2413.688556727181
226,8569.514890547272
227,465.5617294126984
228,78.01375525176184
229,493.76164559064324
230,2122.6567603082544
231,931.8246530118819
232,610.4526317720783
233,132.8684427298639
234,187.7569932205506
235,1439.0140140078386
236,3203.72072773314
237,178.49353002477577
238,524.6148001056248
239,156.00832407613885
240,112.14240380767379
241,106.7370698836703
242,0.0
243,637.6804317901235
244,419.4252221419497
245,168.83382961622934
246,1541.1319829198128
247,782.3498144527053
248,670.1927348076837
249,265.82485332488346
250,682.4709270872727
251,-1.0
252,1231.0470255617975
253,52.190473203780805
254,266.5420966773721
255,1766.739721956718
256,8.263128858089996
257,4731.031683690341
258,534.5895460642977
259,229.2448905573599
260,45.20699416279246
261,1779.7518392933723
262,307.3199488150138
263,411.45360395444436
264,116.13767426494324
265,913.7703975122291
266,356.3917434573399
267,1493.6152727837455
268,947.2043531038933
269,3298.248333938721
270,186.51621045644782
271,3926.6353741920234
272,1986.5797499755859
273,1284.7660104299384
274,50.97374358590576
275,0.02073998642226748
276,777.4489955703349
277,1179.4236458323248
278,1785.17641788525
279,232.32176089801806
280,10427.670303951158
281,242.0284742985773
282,1094.172868769052
283,932.5886214051307
284,176.600375263426
285,281.01972836076817
286,1425.5828099173555
287,896.7356075792108
288,125.87183902457465
289,542.48966794381
290,375.0015027013666
291,927.3722086868516
292,4735.1815715336525
293,465.4843816486471
294,287.23610679325265
295,5231.384532795556
296,383.9731880065913
297,1309.2390196239053
298,395.83756576698227
299,5516.2389825511
300,397.3396303175239
301,4818.738858011811
302,830.5443637471157
303,331.550077929038
304,115.00408749254133
