,sum_entropy
0,411.41320744028087
1,405.7841798677125
2,312.18078623049587
3,194.0759659485562
4,104.507099439644
5,504.5902553627564
6,514.4648003058513
7,1173.6224063724094
8,292.79426653514554
9,77.18678683178653
10,339.03695612084016
11,449.03775882094095
12,68.65089126813749
13,374.4197935086981
14,85.3860099283538
15,43.253240447118166
16,411.9177285985761
17,955.7365910121302
18,308.87841111466554
19,135.2532516797456
20,148.25966255808052
21,363.14715197184785
22,74.27659172303673
23,87.91418727426952
24,129.18285436250503
25,106.7706010934144
26,531.7719940859175
27,237.38024155865853
28,303.37486441039806
29,186.95425471010432
30,913.9672114334255
31,694.1971899678316
32,193.8809099293558
33,394.9498588179549
34,87.46690542554968
35,105.5778905090043
36,235.97619162113375
37,426.6825453071511
38,31.300447703975564
39,455.7359368378099
40,571.806841852934
41,348.84582212797
42,236.01881529574803
43,168.4072458246308
44,1353.6701592016868
45,123.86202881182062
46,527.0514036840248
47,838.5957742786698
48,496.2881779815451
49,117.45710708816605
50,224.31309452413393
51,237.34348043014813
52,158.97180722140322
53,349.7826645601014
54,909.6156591624234
55,204.84074406318726
56,184.5369099998036
57,272.16821384490237
58,486.3628204528187
59,381.4889474805386
60,602.3547843714177
61,119.56694009305131
62,1884.6511586662314
63,253.5107469769743
64,222.78355136370288
65,338.39089626050145
66,79.08194981176523
67,332.5637309489623
68,119.09298255362289
69,270.308232102135
70,472.8257579492809
71,176.8062031414317
72,569.6999113454814
73,220.95055628901892
74,303.14435501569125
75,130.12352255578523
76,310.11843401998385
77,874.012686476574
78,795.2870316067679
79,338.01745382796014
80,206.78025141412778
81,750.6491700794054
82,1036.3096024237213
83,254.6239304175022
84,140.6544965971933
85,159.47055728337898
86,74.96339148895608
87,399.49821972424195
88,342.3446045026465
89,699.5541953865657
90,534.6834688736323
91,173.02845245084487
92,456.27268377922456
93,1527.2485389252422
94,303.6537155070294
95,36.40019576074493
96,1222.9453198583353
97,427.0351752650023
98,353.2067243434501
99,195.8097805470616
100,2054.563366773849
101,172.80538275073346
102,329.894641759306
103,314.8562041706625
104,1023.6870625325495
105,120.92669359402623
106,208.71837511714585
107,438.8151662895948
108,429.7566949654104
109,178.24810161307767
110,507.98216224170676
111,804.2069250775969
112,400.994152709997
113,425.76828085138317
114,754.1937813147456
115,371.94478866532705
116,959.0583293611919
117,308.2512144873418
118,357.85790138373636
119,1259.6387738886967
120,483.1857759982414
121,37.11822519834623
122,425.23899291585417
123,135.4669574659684
124,235.26551408613224
125,307.2659205543946
126,23.131510479474777
127,296.37533183494105
128,757.6016254055905
129,632.5473401680152
130,245.852972255243
131,810.1741043313641
132,292.54113692603715
133,286.72627112670955
134,132.7991121162562
135,182.83076303830663
136,268.3711642696583
137,560.5365512179472
138,448.8587282685979
139,257.4350426969965
140,143.67600118700113
141,270.4485182424444
142,62.92576589411455
143,1097.2572554162407
144,243.72462122229118
145,91.80940493950406
146,235.8550307618609
147,452.1687525564012
148,851.51027746222
149,452.1687525564012
150,200.8853299030093
151,2109.9816263536104
152,785.5013751473664
153,710.2720543604185
154,1052.9349393344905
155,283.6587739668199
156,117.99955637416002
157,565.1997101597541
158,106.04930528533191
159,1966.5136625021412
160,142.0852491229267
161,142.96340579049226
162,448.3525038399361
163,212.69693516494317
164,124.39031580884019
165,302.1827019360268
166,83.50438723652448
167,370.97559286945256
168,287.2961117786659
169,489.2718791453876
170,530.3806183299306
171,638.8273734735731
172,113.69585442411419
173,459.66118216693434
174,275.21619921792376
175,757.1188405816404
176,496.02187841945346
177,535.3295231807638
178,161.94355188149308
179,916.7341589036296
180,296.6541620448329
181,276.09102961449474
182,241.29479818769073
183,217.49815584374196
184,261.3206962995525
185,629.003413947143
