,sum_face_count
0,68
1,73
2,0
3,3
4,7
5,75
6,65
7,0
8,11
9,0
10,0
11,1
12,0
13,65
14,13
15,0
16,52
17,129
18,52
19,25
20,0
21,0
22,0
23,13
24,0
25,0
26,0
27,80
28,40
29,26
30,79
31,9
32,0
33,0
34,0
35,30
36,0
37,0
38,0
39,77
40,77
41,26
42,0
43,48
44,185
45,0
46,72
47,109
48,44
49,0
50,0
51,25
52,0
53,0
54,0
55,7
56,15
57,0
58,8
59,5
60,31
61,17
62,24
63,0
64,48
65,0
66,10
67,28
68,0
69,0
70,61
71,27
72,157
73,17
74,6
75,9
76,0
77,0
78,108
79,55
80,22
81,92
82,81
83,7
84,0
85,0
86,0
87,53
88,0
89,104
90,71
91,29
92,67
93,200
94,0
95,0
96,0
97,0
98,27
99,26
100,0
101,0
102,0
103,53
104,0
105,0
106,31
107,0
108,51
109,26
110,40
111,58
112,66
113,0
114,102
115,40
116,71
117,40
118,11
119,0
120,9
121,5
122,53
123,18
124,0
125,29
126,4
127,0
128,27
129,114
130,0
131,34
132,0
133,60
134,20
135,0
136,0
137,0
138,0
139,2
140,24
141,44
142,5
143,148
144,49
145,0
146,0
147,50
148,0
149,50
150,0
151,305
152,295
153,101
154,0
155,24
156,18
157,0
158,0
159,272
160,0
161,5
162,0
163,27
164,0
165,36
166,0
167,52
168,0
169,0
170,60
171,72
172,8
173,15
174,42
175,0
176,52
177,89
178,10
179,68
180,0
181,0
182,16
183,35
184,25
185,120
186,0
187,0
188,0
189,0
190,0
191,41
192,54
193,199
194,0
195,60
196,23
197,17
198,0
199,139
200,28
201,102
202,42
203,26
204,0
205,0
206,33
207,48
208,10
209,7
210,88
211,44
212,5
213,197
214,0
215,0
216,28
217,0
218,40
219,10
220,0
221,169
222,0
223,1
224,30
225,0
226,65
227,14
228,0
229,0
230,0
231,55
232,5
233,82
234,98
235,0
236,0
237,65
238,0
239,110
240,66
241,78
242,3
243,50
244,2
245,44
246,40
247,0
248,78
249,18
250,110
251,-1
252,21
253,92
254,45
255,58
256,124
257,0
258,0
259,52
260,39
261,27
262,45
263,748
264,200
265,45
266,67
267,0
268,0
269,43
270,0
271,0
272,17
273,0
274,17
275,0
276,7
277,26
278,0
279,0
280,0
281,36
282,55
283,0
284,58
285,75
286,0
287,0
288,42
289,60
290,27
291,101
292,169
293,99
294,31
295,0
296,6
297,8
298,11
299,23
300,23
301,0
302,7
303,0
304,68
305,0
306,41
307,36
308,9
309,79
310,6
311,88
312,0
313,0
314,95
315,0
316,4
317,65
318,0
319,21
320,36
321,0
322,85
323,0
324,30
325,0
326,61
327,0
328,49
329,0
330,9
331,0
332,23
333,0
334,1
335,182
336,11
337,57
338,22
339,0
340,5
341,93
342,0
343,78
344,24
345,5
346,25
347,0
348,15
349,30
350,0
351,11
352,0
353,92
354,23
355,48
356,0
357,0
358,49
359,0
360,129
361,46
362,0
363,240
364,0
365,0
366,102
367,0
368,9
369,5
370,114
371,39
372,0
373,88
374,0
375,18
376,0
377,3
378,38
379,89
380,0
381,199
382,29
383,8
384,4
385,102
386,0
387,23
388,67
389,15
390,58
391,0
392,0
393,33
394,323
395,0
396,1
397,0
398,27
399,0
400,63
401,33
402,1
403,6
404,47
405,17
406,130
407,17
408,91
409,60
410,63
411,5
412,33
413,0
414,0
415,41
416,65
417,147
418,0
419,57
420,147
421,0
422,116
423,68
424,12
425,38
426,147
427,125
428,68
429,22
430,0
431,37
432,0
433,1
434,101
435,28
436,71
437,12
438,114
439,20
440,19
441,78
442,79
443,0
444,9
445,23
446,16
447,78
448,18
449,0
450,66
451,95
452,64
453,23
454,18
455,0
456,42
457,11
458,271
459,50
460,0
461,102
462,0
463,115
464,21
465,100
466,0
467,11
468,103
469,67
470,0
471,24
472,37
473,0
474,52
475,0
476,109
477,9
478,11
479,15
480,0
481,18
482,0
483,0
484,63
485,2
486,16
487,53
488,37
489,49
490,0
491,40
492,1
493,0
494,0
495,25
496,0
497,25
498,0
499,36
500,5
501,47
502,0
503,69
504,0
505,11
506,0
507,0
508,14
509,0
510,0
511,0
512,0
513,15
514,30
515,46
516,56
517,22
518,47
519,3
520,88
521,33
522,4
523,30
524,0
525,0
526,0
527,10
528,0
529,46
530,27
531,33
532,52
533,0
534,39
535,7
536,0
537,0
538,0
539,0
540,12
541,0
542,0
543,44
544,15
545,0
546,0
547,108
548,0
549,11
550,20
551,50
552,26
553,55
554,7
555,0
556,0
557,0
558,59
559,34
560,27
561,0
562,79
563,41
564,0
565,48
566,43
567,73
568,477
569,63
570,0
571,0
572,0
573,17
574,30
575,0
576,1
577,0
578,0
579,9
580,0
581,108
582,0
583,0
584,0
585,0
586,3
587,107
588,53
589,19
590,42
591,0
592,131
593,20
594,0
595,18
596,89
597,22
598,0
599,59
600,103
601,46
602,0
603,33
604,0
605,67
606,35
607,22
608,0
609,28
610,0
611,87
612,39
613,112
614,0
615,19
616,19
617,58
618,0
619,1
620,0
621,0
622,68
623,135
624,0
625,62
626,0
627,0
628,76
629,155
630,0
631,12
632,17
633,61
634,102
635,0
636,54
637,16
638,70
639,28
640,36
641,0
642,29
643,0
644,0
645,0
646,0
647,0
648,26
649,0
650,78
651,2
652,27
653,163
654,0
655,0
656,0
657,1
658,0
659,0
660,30
661,0
662,80
663,23
664,17
665,250
666,14
667,0
668,8
669,65
670,40
671,15
672,0
673,15
674,36
675,46
676,43
677,-1
678,268
679,15
680,0
681,164
682,0
683,33
684,61
685,3
686,0
687,14
