,width
0,269
1,640
2,500
3,220
4,250
5,225
6,640
7,380
8,500
9,500
10,300
11,331
12,360
13,540
14,500
15,500
16,638
17,320
18,460
19,245
20,500
21,480
22,540
23,500
24,220
25,570
26,400
27,960
28,480
29,640
30,629
31,250
32,480
33,640
34,220
35,320
36,480
37,245
38,1280
39,450
40,317
41,400
42,500
43,498
44,600
45,267
46,435
47,740
48,307
49,456
50,480
51,426
52,498
53,453
54,480
55,498
56,498
57,360
58,728
59,500
60,480
61,390
62,480
63,471
64,800
65,480
66,500
67,480
68,500
69,268
70,195
71,350
72,1080
73,480
74,595
75,480
76,498
77,640
78,428
79,640
80,480
81,960
82,480
83,526
84,360
85,500
86,220
87,600
88,220
89,533
90,480
91,460
92,480
93,510
94,896
95,500
96,480
97,500
98,472
99,480
100,640
101,250
102,500
103,238
104,480
105,220
106,400
107,600
108,300
109,498
110,480
111,651
112,720
113,480
114,480
115,410
116,375
117,480
118,480
119,451
120,220
121,500
122,640
123,444
124,320
125,816
126,500
127,240
128,400
129,804
130,480
131,500
132,220
133,400
134,500
135,400
136,480
137,480
138,168
139,600
140,400
141,500
142,480
143,200
144,350
145,245
146,480
147,480
148,718
149,480
150,245
151,711
152,1920
153,532
154,520
155,500
156,415
157,532
158,220
159,711
160,320
161,220
162,237
163,400
164,244
165,480
166,500
167,400
168,600
169,290
170,316
171,432
172,250
173,374
174,320
175,576
176,247
177,640
178,480
179,640
180,320
181,761
182,500
183,524
184,370
185,480
186,444
187,640
188,267
189,357
190,480
191,320
192,720
193,711
194,480
195,480
196,480
197,480
198,480
199,596
200,366
201,480
202,360
203,320
204,468
205,320
206,220
207,366
208,500
209,600
210,640
211,220
212,334
213,711
214,160
215,480
216,500
217,262
218,500
219,498
220,415
221,400
222,400
223,480
224,600
225,500
226,245
227,280
228,316
229,250
230,498
231,500
232,220
233,480
234,498
235,332
236,280
237,480
238,320
239,500
240,480
241,366
242,360
243,480
244,300
245,307
246,480
247,220
248,512
249,455
250,250
251,480
252,356
253,369
254,498
255,540
256,1176
257,498
258,498
259,640
260,425
261,500
262,319
263,600
264,588
265,480
266,354
267,320
268,356
269,244
270,520
271,640
272,320
273,400
274,536
275,600
276,620
277,417
278,540
279,220
280,245
281,600
282,480
283,241
284,640
285,600
286,220
287,800
288,480
289,316
290,400
291,480
292,720
293,380
294,498
295,400
296,256
297,500
298,1280
299,500
300,356
301,500
302,500
303,500
304,550
305,480
306,498
307,387
308,498
309,800
310,220
311,1166
312,384
313,450
314,530
315,259
316,400
317,320
318,498
319,600
320,914
321,640
322,640
323,600
324,443
325,400
326,320
327,620
328,400
329,480
330,220
331,640
332,640
333,480
334,598
335,487
336,498
337,480
338,372
339,480
340,960
341,350
342,500
343,600
344,300
345,480
346,220
347,356
348,308
349,466
350,450
351,480
352,480
353,275
354,480
355,480
356,480
357,158
358,374
359,240
360,600
361,600
362,370
363,728
364,480
365,480
366,480
367,498
368,175
369,360
370,640
371,480
372,480
373,480
374,375
375,480
376,375
377,624
378,500
379,338
380,640
381,640
382,621
383,480
384,498
385,235
386,220
387,300
388,356
389,480
390,480
391,616
392,549
393,400
394,800
395,480
396,242
397,280
398,400
399,500
400,480
401,265
402,480
403,480
404,480
405,400
406,400
407,410
408,315
409,340
410,480
411,356
412,480
413,360
414,280
415,358
416,450
417,584
418,245
419,500
420,584
421,498
422,332
423,395
424,300
425,366
426,584
427,728
428,656
429,400
430,360
431,498
432,480
433,600
434,525
435,300
436,480
437,245
438,396
439,500
440,414
441,366
442,220
443,220
444,500
445,684
446,400
447,480
448,480
449,220
450,900
451,480
452,275
453,500
454,500
455,500
456,480
457,600
458,480
459,263
460,500
461,640
462,728
463,320
464,480
465,452
466,320
467,576
468,480
469,200
470,498
471,498
472,550
473,384
474,480
475,500
476,640
477,500
478,220
479,380
480,400
481,360
482,480
483,499
484,575
485,245
486,220
487,454
488,480
489,350
490,328
491,480
492,294
493,500
494,220
495,245
496,480
497,576
498,400
499,480
500,220
501,480
502,594
503,500
504,480
505,562
506,330
507,450
508,331
509,500
510,600
511,480
512,480
513,498
514,320
515,445
516,640
517,480
518,498
519,480
520,479
521,220
522,764
523,480
524,500
525,837
526,330
527,600
528,378
529,248
530,400
531,480
532,480
533,600
534,480
535,480
536,435
537,426
538,620
539,700
540,480
541,500
542,456
543,480
544,400
545,654
546,500
547,250
548,304
549,500
550,240
551,540
552,480
553,640
554,320
555,335
556,306
557,250
558,500
559,480
560,540
561,400
562,480
563,480
564,480
565,366
566,520
567,480
568,300
569,640
570,520
571,200
572,480
573,500
574,324
575,400
576,400
577,498
578,220
579,520
580,480
581,520
582,220
583,565
584,235
585,328
586,244
587,300
588,480
589,220
590,728
591,250
592,640
593,640
594,276
595,500
596,330
597,500
598,480
599,480
600,450
601,1002
602,240
603,320
604,498
605,500
606,330
607,500
608,300
609,320
610,498
611,480
612,600
613,300
614,480
615,480
616,400
617,170
618,254
619,256
620,450
621,244
622,600
623,480
624,455
625,480
626,220
627,245
628,402
629,400
630,500
631,220
632,600
633,640
634,498
635,360
636,640
637,480
638,390
639,500
640,200
641,720
642,538
643,220
644,640
645,389
646,480
647,363
648,480
649,480
650,550
651,359
652,480
653,480
654,401
655,300
656,435
657,242
658,480
659,480
660,244
661,782
662,500
663,600
664,500
665,640
666,500
667,371
668,240
669,1280
670,400
671,480
672,384
673,350
674,389
675,500
676,245
677,480
678,330
679,400
680,500
681,400
682,500
683,640
684,224
685,480
686,592
687,486
688,400
689,600
690,453
691,368
692,307
693,506
694,444
695,600
696,480
697,252
698,446
699,412
700,500
701,200
702,480
703,720
704,480
705,384
706,245
707,500
708,444
709,350
710,430
711,480
712,555
713,220
714,450
715,331
716,350
717,480
718,500
719,375
720,265
721,480
722,530
723,995
724,720
725,480
726,294
727,386
728,500
729,400
730,540
731,500
732,480
733,477
734,400
735,480
736,500
737,534
738,450
739,251
740,528
741,245
742,480
743,500
744,294
745,480
746,245
747,456
748,480
749,337
750,320
751,540
752,401
753,245
754,960
755,1080
756,500
757,480
758,640
759,260
760,500
761,498
762,500
763,400
764,498
765,500
766,200
767,161
768,500
769,478
770,498
771,498
772,267
773,480
774,1280
775,478
776,552
777,267
778,500
779,704
780,480
781,175
782,320
783,500
784,500
785,617
786,640
787,500
788,480
789,433
790,498
791,640
792,480
793,360
794,480
795,245
796,245
797,463
798,480
799,500
800,498
801,500
802,250
803,1258
804,300
805,600
806,480
807,700
808,480
809,540
810,400
811,304
812,299
813,400
814,350
815,500
816,160
817,480
818,320
819,300
820,480
821,400
822,260
823,360
824,245
825,540
826,480
827,480
828,225
829,600
830,500
831,309
832,480
833,640
834,480
835,640
836,281
837,320
838,500
839,303
840,500
841,750
842,480
843,448
844,500
845,245
846,392
847,500
848,400
849,240
850,540
851,414
852,245
853,498
854,260
855,400
856,480
857,480
858,480
859,360
860,600
861,480
862,400
863,336
864,480
865,262
866,480
867,500
868,340
869,480
870,600
871,220
872,500
873,500
874,220
875,132
876,500
877,474
878,295
879,1920
880,300
881,500
882,498
883,640
884,500
885,244
886,600
887,500
888,480
889,600
890,499
891,200
892,308
893,360
894,640
895,480
896,220
897,287
898,500
899,300
900,640
901,480
902,413
903,366
904,500
905,160
906,245
907,425
908,344
909,553
910,364
911,354
912,480
913,275
914,458
915,525
916,366
917,294
918,480
919,640
920,294
921,1064
922,250
923,260
924,300
925,320
926,464
