,number_of_pixels
0,0.59987
1,3.072
2,1.025
3,0.484
4,0.375
5,0.50625
6,3.5712
7,1.71
8,1.69
9,2.115
10,0.69
11,0.9268
12,1.008
13,2.916
14,1.59
15,1.875
16,3.11344
17,0.768
18,0.92
19,0.69825
20,1.405
21,1.4592
22,2.565
23,1.16
24,0.7106
25,1.5732
26,0.9
27,6.144
28,1.296
29,2.2016
30,2.49084
31,0.47
32,0.96
33,4.096
34,0.2662
35,0.5248
36,1.1184
37,0.3675
38,9.216
39,1.116
40,0.79884
41,0.912
42,1.41
43,0.99102
44,1.662
45,0.534
46,1.0875
47,3.071
48,0.614
49,1.54128
50,2.304
51,1.0224
52,1.60854
53,1.55832
54,1.296
55,1.38444
56,1.3944
57,0.576
58,3.97488
59,1.41
60,1.248
61,1.0101
62,1.3056
63,0.942
64,3.6
65,1.296
66,1.4
67,1.728
68,0.78
69,0.8576
70,0.44655
71,1.225
72,11.664
73,1.3008
74,1.9159
75,1.2672
76,1.26492
77,2.304
78,1.03148
79,2.5088
80,2.304
81,5.0688
82,1.296
83,1.54644
84,0.7992
85,1.06
86,0.2728
87,2.412
88,0.2816
89,1.599
90,1.728
91,1.1914
92,1.728
93,1.6728
94,4.032
95,1.86
96,1.728
97,1.405
98,1.23664
99,2.304
100,2.304
101,0.3425
102,1.87
103,0.56882
104,1.296
105,0.3696
106,0.896
107,2.022
108,0.507
109,1.21512
110,2.304
111,2.16132
112,2.9952
113,1.2768
114,1.68
115,0.82
116,0.79875
117,1.2576
118,1.296
119,1.14554
120,0.3718
121,1.9
122,2.304
123,1.0656
124,0.768
125,3.00288
126,2.0
127,0.4176
128,1.12
129,4.824
130,1.296
131,1.405
132,0.484
133,0.968
134,1.4
135,0.684
136,1.2528
137,0.9792
138,0.21168
139,2.13
140,1.46
141,1.405
142,0.8784
143,0.396
144,0.9695
145,0.60025
146,1.7568
147,1.296
148,2.90072
149,1.296
150,0.4508
151,2.844
152,20.736
153,1.596
154,1.5236
155,1.06
156,0.83
157,2.43656
158,0.2706
159,2.844
160,0.576
161,0.3168
162,0.56169
163,1.2
164,0.6588
165,1.2384
166,1.405
167,0.896
168,1.956
169,0.551
170,0.67308
171,1.15776
172,0.475
173,0.80784
174,0.5792
175,1.5552
176,0.39767
177,3.008
