,sharpness
0,"tf.Tensor(6.104321064870463, shape=(), dtype=float64)"
1,"tf.Tensor(6.637617337689659, shape=(), dtype=float64)"
2,"tf.Tensor(7.9119218632441255, shape=(), dtype=float64)"
3,"tf.Tensor(6.6411002714943965, shape=(), dtype=float64)"
4,"tf.Tensor(6.468143908213961, shape=(), dtype=float64)"
5,"tf.Tensor(5.744027796495767, shape=(), dtype=float64)"
6,"tf.Tensor(5.569351304928757, shape=(), dtype=float64)"
7,"tf.Tensor(5.5174081357814355, shape=(), dtype=float64)"
8,"tf.Tensor(5.32044901432183, shape=(), dtype=float64)"
9,"tf.Tensor(6.066865026598692, shape=(), dtype=float64)"
10,"tf.Tensor(5.885950064212257, shape=(), dtype=float64)"
11,"tf.Tensor(5.403995504408045, shape=(), dtype=float64)"
12,"tf.Tensor(7.605475200987639, shape=(), dtype=float64)"
13,"tf.Tensor(6.251983858748922, shape=(), dtype=float64)"
14,"tf.Tensor(5.17396029706762, shape=(), dtype=float64)"
15,"tf.Tensor(7.987068573490576, shape=(), dtype=float64)"
16,"tf.Tensor(5.405607096389679, shape=(), dtype=float64)"
17,"tf.Tensor(6.301054625371283, shape=(), dtype=float64)"
18,"tf.Tensor(5.693776044861271, shape=(), dtype=float64)"
19,"tf.Tensor(8.551407043127693, shape=(), dtype=float64)"
20,"tf.Tensor(8.165077706947253, shape=(), dtype=float64)"
21,"tf.Tensor(6.0860037742261115, shape=(), dtype=float64)"
22,"tf.Tensor(7.041453823886345, shape=(), dtype=float64)"
23,"tf.Tensor(7.6585120788906496, shape=(), dtype=float64)"
24,"tf.Tensor(5.514373876126607, shape=(), dtype=float64)"
25,"tf.Tensor(7.252923217977695, shape=(), dtype=float64)"
26,"tf.Tensor(5.879206561496817, shape=(), dtype=float64)"
27,"tf.Tensor(4.270978668887944, shape=(), dtype=float64)"
28,"tf.Tensor(5.871364157718087, shape=(), dtype=float64)"
29,"tf.Tensor(7.656229439232442, shape=(), dtype=float64)"
30,"tf.Tensor(5.560295867488727, shape=(), dtype=float64)"
31,"tf.Tensor(8.374912732851383, shape=(), dtype=float64)"
32,"tf.Tensor(7.705775394341136, shape=(), dtype=float64)"
33,"tf.Tensor(5.993405891470898, shape=(), dtype=float64)"
34,"tf.Tensor(7.24810935958176, shape=(), dtype=float64)"
35,"tf.Tensor(7.693297377520826, shape=(), dtype=float64)"
36,"tf.Tensor(6.934218626107309, shape=(), dtype=float64)"
37,"tf.Tensor(9.091870675797418, shape=(), dtype=float64)"
38,"tf.Tensor(6.362671591005657, shape=(), dtype=float64)"
39,"tf.Tensor(6.319662330383185, shape=(), dtype=float64)"
40,"tf.Tensor(5.686059156698829, shape=(), dtype=float64)"
41,"tf.Tensor(6.167087777685128, shape=(), dtype=float64)"
42,"tf.Tensor(7.1017768406515005, shape=(), dtype=float64)"
43,"tf.Tensor(7.081423577279143, shape=(), dtype=float64)"
44,"tf.Tensor(4.4663212354424795, shape=(), dtype=float64)"
45,"tf.Tensor(6.05897607084061, shape=(), dtype=float64)"
46,"tf.Tensor(5.410582207572272, shape=(), dtype=float64)"
47,"tf.Tensor(6.599331360432743, shape=(), dtype=float64)"
