,variation
0,"tf.Tensor(16.230806, shape=(), dtype=float32)"
1,"tf.Tensor(15.964292, shape=(), dtype=float32)"
2,"tf.Tensor(17.39963, shape=(), dtype=float32)"
3,"tf.Tensor(13.9907255, shape=(), dtype=float32)"
4,"tf.Tensor(15.381304, shape=(), dtype=float32)"
5,"tf.Tensor(15.021021, shape=(), dtype=float32)"
6,"tf.Tensor(17.147768, shape=(), dtype=float32)"
7,"tf.Tensor(15.430501, shape=(), dtype=float32)"
8,"tf.Tensor(15.382847, shape=(), dtype=float32)"
9,"tf.Tensor(15.969041, shape=(), dtype=float32)"
10,"tf.Tensor(14.537259, shape=(), dtype=float32)"
11,"tf.Tensor(14.752578, shape=(), dtype=float32)"
12,"tf.Tensor(15.989271, shape=(), dtype=float32)"
13,"tf.Tensor(18.595032, shape=(), dtype=float32)"
14,"tf.Tensor(14.896854, shape=(), dtype=float32)"
15,"tf.Tensor(15.745625, shape=(), dtype=float32)"
16,"tf.Tensor(17.204767, shape=(), dtype=float32)"
17,"tf.Tensor(15.282623, shape=(), dtype=float32)"
18,"tf.Tensor(16.335249, shape=(), dtype=float32)"
19,"tf.Tensor(16.229853, shape=(), dtype=float32)"
20,"tf.Tensor(16.176376, shape=(), dtype=float32)"
21,"tf.Tensor(15.264012, shape=(), dtype=float32)"
22,"tf.Tensor(17.337381, shape=(), dtype=float32)"
23,"tf.Tensor(15.812641, shape=(), dtype=float32)"
24,"tf.Tensor(15.189385, shape=(), dtype=float32)"
25,"tf.Tensor(16.75549, shape=(), dtype=float32)"
26,"tf.Tensor(16.537746, shape=(), dtype=float32)"
27,"tf.Tensor(15.71617, shape=(), dtype=float32)"
28,
29,"tf.Tensor(16.171017, shape=(), dtype=float32)"
30,"tf.Tensor(14.843462, shape=(), dtype=float32)"
31,"tf.Tensor(16.310009, shape=(), dtype=float32)"
32,"tf.Tensor(16.914982, shape=(), dtype=float32)"
33,"tf.Tensor(16.263248, shape=(), dtype=float32)"
34,"tf.Tensor(14.073374, shape=(), dtype=float32)"
35,"tf.Tensor(14.676577, shape=(), dtype=float32)"
36,"tf.Tensor(16.448097, shape=(), dtype=float32)"
37,"tf.Tensor(15.923848, shape=(), dtype=float32)"
38,"tf.Tensor(16.616743, shape=(), dtype=float32)"
39,"tf.Tensor(14.849089, shape=(), dtype=float32)"
40,"tf.Tensor(16.807455, shape=(), dtype=float32)"
41,"tf.Tensor(16.259441, shape=(), dtype=float32)"
42,"tf.Tensor(15.136975, shape=(), dtype=float32)"
43,"tf.Tensor(15.129173, shape=(), dtype=float32)"
44,"tf.Tensor(16.952969, shape=(), dtype=float32)"
45,"tf.Tensor(13.889705, shape=(), dtype=float32)"
46,"tf.Tensor(14.789477, shape=(), dtype=float32)"
47,"tf.Tensor(17.58973, shape=(), dtype=float32)"
